scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);ecart_distance_pickup_2 (meters);ecart_distance_dropoff_2 (meters);cd_len1;cd_len2;cd_len3;cd_len4;cd_len5;cc_len1;cc_len2;cc_len3;cc_len4;cc_len5;ccl_len1;ccl_len2;ccl_len3;ccl_len4;ccl_len5;foot1;car1;foot2;car2;cd_waiting_time;cc_waiting_time;ecart_waiting_time;cd_waiting_time;ccl_waiting_time;ecart_waiting_time_2;cc_runtime;ccl_runtime
25;0.000823974609375;14;0.00275707244873;2264;0.000606060028076;121;0.00896191596985;8266;4.0454158783;12;81.0230200291;2;0.0765950679779;24;0.00191116333008;0.0234730243683;4970;4496;474;474;4970;4720;250;250;418.427;231.962;169.92;234.262;142;542;1529;287;541;454;439;1456;105;571;264;502;1518;110;570;8546;5705;14358;38801;400;15;385;400;238;162;319.99999999993634;110.00000000012733
27;0.0010290145874;58;0.00255393981934;2101;0.000509023666382;15;0.0138890743256;11616;10.678632021;41;21.0075380802;15;0.883543014526;615;0.00117993354797;0.61737203598;3937;3889;48;48;3937;3891;46;46;226.739;28.064;84.493;28.064;199;354;1524;19;162;361;328;1501;0;165;259;345;1518;0;165;34577;45453;5247;24304;155;33;122;155;86;69;269.99999999998181;89.999999999918145
28;0.00188994407654;41;0.0138499736786;13001;0.000636100769043;23;0.00199508666992;1625;48.9707820415;32;3.99374604225;23;0.710548877716;736;0.00192093849182;0.865445137024;3871;3761;110;110;3871;3761;110;110;215.907;23.3372;215.907;23.3372;77;273;1389;17;530;220;249;1369;0;525;220;249;1369;0;525;47525;422;22201;38959;196;29;167;196;29;167;400.00000000009095;69.999999999936335
32;0.0013427734375;29;0.0029730796814;2686;0.00069785118103;63;0.00735402107239;7141;7.69071698189;25;38.2843408585;45;0.37955904007;1125;0.00323915481567;0.652511119843;3946;3946;0;0;3946;3946;0;0;0;0;0;0;235;220;1450;11;565;235;220;1450;11;565;235;220;1450;11;565;42737;34374;28026;32265;15;15;0;15;15;0;250;69.999999999936335
35;0.00322198867798;28;0.00326204299927;3847;0.000691175460815;45;0.00958490371704;7322;10.7463409901;23;29.9631910324;36;0.755012989044;828;0.00188493728638;0.503473997116;3945;3839;106;106;3945;3941;4;4;262.143;291.301;262.143;405.033;8;240;1298;217;652;193;269;1340;0;621;193;269;1352;115;584;5458;17988;31103;62873;232;76;156;232;76;156;369.99999999989086;120.00000000011823
36;0.00101208686829;44;0.00783705711365;8345;0.00048303604126;11;0.00872993469238;8350;33.7946820259;34;12.8689119816;11;0.405514955521;374;0.000777959823608;0.39311504364;3797;3678;119;119;3797;3678;119;119;0;291.869;0;291.869;115;110;1427;230;483;115;110;1464;0;520;115;110;1464;0;520;41468;53851;51063;25075;5;5;0;5;5;0;490.00000000000909;149.99999999986358
37;0.0031111240387;79;0.00308084487915;3754;0.000715970993042;115;0.00847601890564;7877;25.1620690823;64;74.7068309784;67;2.22657680511;4288;0.025032043457;2.8958170414;3523;3296;227;227;3523;3296;227;227;142.801;172.704;142.801;172.704;138;297;1184;141;420;273;277;1184;2;372;273;277;1184;2;372;59413;30479;40784;31262;159;4;155;159;4;155;259.99999999999091;69.999999999936335
40;0.00100994110107;97;0.00501894950867;4887;0.000653028488159;16;0.0124230384827;11927;39.3888599873;85;22.8353528976;16;0.659492969513;1360;0.00462794303894;1.78050994873;3667;3382;285;285;3667;3382;285;285;698.789;271.882;368.824;271.882;2;523;1012;195;402;541;543;967;0;362;302;504;1006;0;362;21833;34746;21508;59160;521;2;519;521;202;319;309.99999999994543;89.999999999918145
44;0.00121688842773;178;0.0138108730316;12102;0.000494956970215;3;0.00969195365906;5969;171.028659105;118;5.49909710884;1;0.0422809123993;118;0.000822067260742;0.347150802612;3136;2823;313;313;3136;2823;313;313;15.6489;289.973;15.6489;289.973;128;74;1030;216;604;115;76;1008;0;577;115;76;1008;0;577;30466;65498;17904;45866;54;39;15;54;39;15;420.00000000007276;99.999999999909051
46;0.0014660358429;91;0.00423121452332;3992;0.00056791305542;46;0.00651216506958;6743;29.771173954;48;27.7851860523;34;1.42490196228;1632;0.00649094581604;1.11286115646;3201;3201;0;0;3201;3201;0;0;0;0;0;0;152;140;1188;30;491;152;140;1188;30;491;152;140;1188;30;491;921;66035;66839;64565;12;12;0;12;12;0;309.99999999994543;110.00000000012733
49;0.00114512443542;6;0.0112199783325;7795;0.000962018966675;90;0.0106689929962;6309;8.89761519432;6;46.5801980495;80;0.310992956161;480;0.00142192840576;0.44589304924;4444;4330;114;114;4444;4410;34;34;91.3912;3.83513;40.4561;3.83513;270;420;1648;2;306;355;392;1620;0;306;299;410;1642;0;306;2643;28155;38578;57364;150;37;113;150;111;39;380.00000000010914;89.999999999918145
50;0.00212001800537;3;0.00101399421692;671;0.000725030899048;119;0.00714111328125;7749;0.634882926941;3;74.3361241817;63;0.0429840087891;189;0.000752925872803;0.0973360538483;3121;3011;110;110;3121;3011;110;110;80.4472;71.0631;80.4472;71.0631;280;177;1086;30;359;223;186;1088;81;308;223;186;1088;81;308;47940;62741;70414;53840;103;37;66;103;37;66;180.00000000006366;49.999999999954525
51;0.000998020172119;91;0.00740003585815;7997;0.000556945800781;48;0.00767087936401;6224;59.9018390179;54;26.7603070736;39;1.12585115433;2106;0.0099241733551;1.76803994179;2476;2449;27;27;2476;2449;27;27;0;23.9946;0;23.9946;185;221;930;17;157;185;221;929;0;149;185;221;929;0;149;65146;51776;62729;28687;36;36;0;36;36;0;230.00000000001819;49.999999999954525
52;0.000931024551392;84;0.0190408229828;17116;0.000561952590942;70;0.0012059211731;667;120.49555707;63;4.00095200539;65;3.42614889145;4095;0.0262022018433;6.95490789413;3521;3468;53;53;3521;3468;53;53;83.2882;45.6594;83.2882;45.6594;181;261;1338;36;287;240;253;1335;0;292;240;253;1335;0;292;42736;49944;13555;49607;80;13;67;80;13;67;309.99999999994543;69.999999999708962
55;0.000865936279297;159;0.00468492507935;3816;0.000542879104614;45;0.0128989219666;12281;48.8594388962;121;50.7245249748;45;4.15764498711;5445;0.0329730510712;6.88199281693;3233;3233;0;0;3233;3233;0;0;57.8432;0;57.8432;92.4823;155;190;1275;66;237;194;194;1271;66;237;194;194;1293;0;259;45858;18753;45192;65814;35;0;35;35;0;35;300.0000000001819;109.99999999967258
56;0.00145602226257;37;0.0069580078125;7361;0.00192904472351;72;0.00871300697327;8843;25.9827320576;7;54.5717000961;17;0.0915818214417;119;0.000745058059692;0.131822109222;4035;3856;179;179;4035;4111;76;-76;162.413;70.9634;0;169.392;298;529;1147;51;632;414;491;1117;0;640;298;529;1149;197;558;55142;36022;3279;63473;231;77;154;231;231;0;300.0000000001819;110.00000000012733
57;0.00131702423096;75;0.00942993164062;9696;0.000627994537354;145;0.00861001014709;8555;61.0782771111;64;98.6905288696;124;3.57720112801;7936;0.0524439811707;11.0847070217;3731;3469;262;262;3731;3513;218;218;417.346;284.204;317.733;284.204;30;462;1192;260;163;375;407;1224;0;207;302;418;1235;0;207;68065;9108;34866;30947;432;32;400;432;116;316;369.99999999989086;90.000000000145519
58;0.00113391876221;90;0.00670886039734;7795;0.00220704078674;66;0.0182287693024;14283;57.5655629635;42;86.5224049091;51;2.00846409798;2142;0.0107100009918;6.59799003601;3783;3636;147;147;3783;3636;147;147;382.944;170.72;382.944;170.72;93;285;1265;154;529;245;238;1311;30;494;245;238;1311;30;494;52161;28155;75451;40698;192;7;185;192;7;185;480.00000000001819;199.9999999998181
60;0.000761032104492;38;0.00249481201172;2646;0.000653982162476;140;0.00679707527161;6897;10.4615190029;34;82.6675779819;72;0.806643009186;2448;0.0159468650818;1.65999007225;4049;3730;319;319;4049;3738;311;311;390.178;223.714;350.932;223.714;6;345;1338;200;483;303;297;1321;30;452;273;302;1326;30;452;32595;24696;71567;17872;339;6;333;339;29;310;269.99999999998181;59.99999999994543
63;0.00078296661377;4;0.0012309551239;473;0.00064492225647;123;0.0110318660736;7650;0.523178815842;4;81.1914079189;78;0.106957912445;312;0.00148797035217;0.169187068939;5319;5317;2;2;5319;5317;2;2;96.3695;3.29442;0;3.29442;233;439;1970;2;499;304;450;1959;0;499;233;439;1970;0;499;53605;18452;52616;36745;206;146;60;206;206;0;280.00000000020009;69.999999999708962
66;0.00129985809326;127;0.00557899475098;5551;0.000602006912231;67;0.007817029953;7346;58.6002259254;89;42.3177821636;55;3.66517591476;4895;0.032637834549;3.97519516945;3660;3586;74;74;3660;3586;74;74;0;207.319;0;207.319;73;64;1464;178;408;73;64;1490;30;430;73;64;1490;30;430;14072;15367;72774;10166;9;9;0;9;9;0;329.99999999992724;90.000000000145519
70;0.00074315071106;14;0.00158286094666;1706;0.00059700012207;53;0.00675201416016;7353;3.07062482834;13;34.6771631241;34;0.425585031509;442;0.00102400779724;0.244689941406;3818;3734;84;84;3818;3734;84;84;244.636;174.005;244.636;174.005;176;201;1438;173;367;0;172;1487;26;390;0;172;1487;26;390;41684;41597;29965;64243;25;172;147;25;172;147;289.99999999996362;90.000000000145519
72;0.000633955001831;36;0.011873960495;10162;0.000524997711182;59;0.0042188167572;4086;35.9619009495;29;21.5378599167;42;1.55765199661;1218;0.00339579582214;1.22779488564;3298;3181;117;117;3298;3181;117;117;324.555;174.525;220.185;174.525;75;386;1161;160;44;394;411;1132;30;65;297;396;1147;30;65;44471;54954;75160;51943;311;17;294;311;99;212;339.99999999969077;90.000000000145519
73;0.00124502182007;3;0.00207209587097;1903;0.000712871551514;97;0.00994491577148;10268;1.87390398979;3;85.3070249557;76;0.127851009369;228;0.000910997390747;0.194638967514;4465;4423;42;42;4465;4423;42;42;0;14.8518;0;14.8518;184;324;1643;10;521;184;324;1642;0;491;184;324;1642;0;491;19093;30388;16062;22408;140;140;0;140;140;0;300.0000000001819;79.99999999992724
74;0.00117802619934;67;0.0108389854431;10005;0.000541925430298;67;0.0123310089111;12882;60.5843479633;57;98.8305339813;10;0.440793991089;570;0.00257802009583;1.17705082893;4442;4260;182;182;4442;4264;178;178;278.494;270.31;278.494;0;23;342;1451;274;582;273;350;1444;0;672;273;350;1354;274;582;61440;53235;34235;25341;319;77;242;319;77;242;1079.9999999999272;230.00000000001819
77;0.00114607810974;148;0.011176109314;7128;0.000509023666382;28;0.00816512107849;4618;90.043874979;136;13.5118899345;15;0.407959938049;2040;0.0112819671631;1.41057896614;3150;3041;109;109;3150;3343;193;-193;238.094;148.191;261.085;298.039;87;395;814;121;611;374;391;808;0;643;283;383;793;399;592;31;45391;59864;61256;308;17;291;308;100;208;339.99999999969077;100.0000000003638
78;0.00130796432495;90;0.00768089294434;8345;0.000418901443481;1;0.00143694877625;1389;64.8040468693;57;1.12518596649;1;0.0158059597015;57;0.000291109085083;0.0581550598145;3502;3428;74;74;3502;3428;74;74;280.449;194.397;208.533;194.397;190;365;1154;143;321;345;397;1145;0;344;294;389;1153;0;344;39404;36173;50390;42548;175;52;123;175;95;80;280.00000000020009;49.999999999727152
80;0.00147414207458;19;0.000764846801758;313;0.000531911849976;13;0.00517201423645;5174;0.708662033081;4;8.99799394608;7;0.125020027161;28;4.6968460083e-05;0.0175399780273;4802;4724;78;78;4802;4724;78;78;0;138.621;0;138.621;181;583;1589;99;359;181;583;1596;0;366;181;583;1596;0;366;44692;10398;18063;47428;402;402;0;402;402;0;300.0000000001819;70.000000000163709
82;0.000861883163452;121;0.00225186347961;2449;0.00052809715271;33;0.00986194610596;9656;25.1192889214;113;32.9918210506;26;1.9968919754;2938;0.0142269134521;2.28687691689;3462;3356;106;106;3462;3392;70;70;558.658;116.505;306.643;116.505;15;346;1067;115;521;415;344;994;30;508;233;373;1054;30;508;10636;4292;71214;57165;331;71;260;331;140;191;250;50.000000000181899
83;0.000909090042114;90;0.00115704536438;959;0.000598907470703;100;0.0158240795135;13281;7.35117816925;82;114.498070955;55;3.58573889732;4510;0.0275921821594;5.29417800903;4913;4699;214;214;4913;4699;214;214;316.682;213.872;316.682;213.872;6;322;1759;234;517;241;284;1785;0;561;241;284;1785;0;561;30984;6088;2182;30345;316;43;273;316;43;273;369.99999999989086;150.00000000009095
84;0.000821113586426;50;0.0058228969574;5772;0.00106596946716;134;0.00851392745972;8611;26.1242518425;48;96.6231970787;37;1.82942485809;1776;0.00963020324707;1.73418617249;3577;3433;144;144;3577;3435;142;142;60.1848;125.471;60.1848;145.851;172;114;1249;92;643;112;128;1285;0;607;112;128;1280;17;602;22622;6742;10117;11615;58;16;42;58;16;42;389.99999999987267;179.99999999983629
scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);ecart_distance_pickup_2 (meters);ecart_distance_dropoff_2 (meters);cd_len1;cd_len2;cd_len3;cd_len4;cd_len5;cc_len1;cc_len2;cc_len3;cc_len4;cc_len5;ccl_len1;ccl_len2;ccl_len3;ccl_len4;ccl_len5;foot1;car1;foot2;car2;cd_waiting_time;cc_waiting_time;ecart_waiting_time;cd_waiting_time;ccl_waiting_time;ecart_waiting_time_2;cc_runtime;ccl_runtime
0;0.00213813781738;143;0.00458478927612;5185;0.000632047653198;2;0.00164413452148;1447;60.603853941;89;1.25145292282;2;0.0407919883728;178;0.000647068023682;0.100300073624;3704;3695;9;9;3704;3695;9;9;0;20.9148;0;20.9148;30;125;1462;15;515;30;125;1464;0;517;30;125;1464;0;517;33996;44816;62281;31833;95;95;0;95;95;0;379.99999999999545;70.000000000000284
2;0.00123596191406;72;0.0100839138031;11656;0.00131106376648;51;0.00467205047607;4730;70.2732601166;69;22.4175930023;39;2.3902490139;2652;0.0104808807373;4.83130407333;3137;2938;199;199;3137;2938;199;199;103.89;266.268;103.89;266.268;5;206;1232;209;52;183;175;1250;0;72;183;175;1250;0;72;15726;58594;50138;59038;201;8;193;201;8;193;300.00000000001137;70.0000000000216
3;0.0011100769043;76;0.00550603866577;5636;0.000558853149414;35;0.0017831325531;1340;38.5123519897;52;4.90621113777;27;0.371189832687;1404;0.00521993637085;0.812451839447;3157;2929;228;228;3157;2929;228;228;185.648;211.133;185.648;211.133;60;275;936;221;514;242;247;943;0;549;242;247;943;0;549;41334;7689;41175;64207;215;5;210;215;5;210;280.00000000000114;50.000000000011369
6;0.00112295150757;142;0.00512599945068;5226;0.000627040863037;9;0.00197815895081;1875;62.9344520569;104;2.59842395782;9;0.557718992233;936;0.00424408912659;0.635045051575;4362;4266;96;96;4362;4266;96;96;230.628;195.408;230.628;195.408;12;191;1758;180;284;179;216;1761;0;312;179;216;1761;0;312;61600;29449;42175;3685;179;37;142;179;37;142;350.00000000002274;69.999999999993179
9;0.00116586685181;140;0.00924587249756;8493;0.000627994537354;150;0.00825691223145;8473;95.8326480389;75;101.442476988;138;3.57172012329;10350;0.0984191894531;15.5728909969;2973;2952;21;21;2973;2952;21;21;128.859;6.8896;128.859;6.8896;172;313;957;4;429;277;328;933;0;430;277;328;933;0;430;26045;53153;5976;43960;141;51;90;141;51;90;350.00000000002274;140.0000000000432
12;0.00082802772522;110;0.00928902626038;8533;0.000581979751587;61;0.00612211227417;6962;76.9198989868;88;37.4926869869;49;2.64749693871;4312;0.029011964798;5.04080700874;3309;3309;0;0;3309;3309;0;0;17.668;0;17.668;0;13;292;1250;6;219;25;292;1250;6;219;25;292;1250;6;219;26720;40890;187;20351;279;267;12;279;267;12;290.00000000007731;69.999999999936335
14;0.00142908096313;66;0.00364208221436;2979;0.000647068023682;38;0.0130989551544;12435;18.1156358719;60;46.8597509861;28;2.01747822762;1680;0.00520992279053;2.20862817764;3554;3487;67;67;3554;3487;67;67;59.4119;144.458;59.4119;144.458;8;124;1317;222;450;58;118;1364;0;523;58;118;1364;0;523;23042;24735;20432;22984;116;60;56;116;60;56;309.99999999994543;80.000000000040927
16;0.00137400627136;33;0.00722694396973;7157;0.000615119934082;13;0.00164604187012;1083;23.0119760036;21;1.87671804428;13;0.303607940674;273;0.000411987304688;0.180638790131;4336;4089;247;247;4336;4089;247;247;167.747;149.418;167.747;149.418;204;43;1666;108;488;0;76;1716;0;505;0;76;1716;0;505;34938;7286;49891;61113;161;76;85;161;76;85;370.00000000000455;60.000000000059117
22;0.00242805480957;80;0.00933599472046;9950;0.000545978546143;57;0.00825190544128;9432;67.3009240627;60;47.1806159019;36;1.22537207603;2160;0.00915694236755;3.16142511368;3268;3169;99;99;3268;3169;99;99;234.01;243.477;234.01;243.477;2;149;1205;211;349;168;174;1207;30;377;168;174;1207;30;377;28338;55541;71643;64113;147;6;141;147;6;141;419.99999999995907;119.99999999989086
26;0.000808000564575;144;0.0107200145721;10272;0.000863075256348;68;0.0170569419861;15015;118.61499095;65;87.9433598518;56;2.23661589622;3640;0.0268750190735;9.95305085182;3663;3537;126;126;3663;3537;126;126;200.303;43.8182;200.303;43.8182;158;307;1311;40;387;283;277;1298;0;375;283;277;1298;0;375;26311;52735;25141;34079;149;6;143;149;6;143;479.99999999979082;209.99999999980901
28;0.000900030136108;142;0.00898098945618;8405;0.000485897064209;20;0.0019109249115;1772;96.996106863;77;4.05219483376;15;0.340688943863;1155;0.00652384757996;1.18868994713;3829;3770;59;59;3829;3770;59;59;484.578;91.8017;283.51;91.8017;7;435;1149;65;596;495;511;1075;0;598;210;468;1118;0;598;2770;28811;34926;61887;428;16;412;428;258;170;370.00000000011823;79.99999999992724
32;0.00176501274109;156;0.0119869709015;11093;0.00041389465332;33;0.00668382644653;6733;139.302293777;140;21.6519038677;29;1.37567806244;4060;0.0320510864258;6.72179889679;3568;3434;134;134;3568;3434;134;134;279.496;270.743;279.496;240.876;17;260;1301;215;231;225;226;1340;0;302;225;226;1326;42;288;48731;999;52637;17907;243;1;242;243;1;242;450.00000000004547;140.00000000010004
35;0.00141882896423;20;0.00134706497192;1056;0.000627994537354;12;0.0108721256256;10065;2.43627309799;16;16.2897768021;9;0.455236911774;144;0.000231981277466;0.125482082367;4702;4630;72;72;4702;4630;72;72;193.658;259.537;193.658;259.537;8;249;1850;212;292;181;234;1844;0;474;181;234;1844;0;474;17854;29085;9378;57293;241;53;188;241;53;188;320.00000000016371;99.999999999909051
36;0.00137186050415;38;0.00365090370178;2314;0.000534057617188;34;0.00265789031982;2812;8.46050596237;19;9.40096998215;34;0.680029153824;646;0.00115418434143;0.172684907913;4288;4266;22;22;4288;4266;22;22;0;53.8856;0;53.8856;160;332;1568;39;449;160;332;1574;0;454;160;332;1574;0;454;74836;53124;43540;4194;172;172;0;172;172;0;259.99999999999091;69.999999999936335
39;0.00268912315369;210;0.00957298278809;7835;0.000981092453003;40;0.00458097457886;4447;130.03143692;187;16.8460011482;32;1.96991205215;5984;0.0493710041046;4.04435706139;2534;2372;162;162;2534;2372;162;162;53.279;121.731;53.279;121.731;93;37;936;139;337;40;45;965;0;352;40;45;965;0;352;42898;21429;64343;21478;56;5;51;56;5;51;220.00000000002728;39.99999999996362
40;0.00159406661987;39;0.00739812850952;7805;0.000641107559204;143;0.00821900367737;8458;28.7976438999;39;97.8828780651;73;2.17622900009;2847;0.0162558555603;3.40777921677;4131;3959;172;172;4131;3959;172;172;227.954;287.698;227.954;287.698;5;147;1528;267;514;207;169;1512;28;493;207;169;1512;28;493;20523;15094;46333;43104;142;38;104;142;38;104;519.99999999998181;140.00000000010004
41;0.00106501579285;30;0.00741791725159;6281;0.000521898269653;29;0.00109696388245;499;18.7647299767;15;1.48503088951;29;0.347877979279;435;0.000800132751465;0.206095933914;2876;2718;158;158;2876;2718;158;158;570.886;385.102;373.303;385.102;30;399;862;276;78;439;464;838;0;114;299;442;860;0;114;73318;35462;5896;5912;369;25;344;369;143;226;210.00000000003638;29.999999999972715
50;0.000854015350342;34;0.00292491912842;3087;0.000526905059814;47;0.00833106040955;8075;10.2193448544;32;34.2355380058;38;1.02547597885;1216;0.00291609764099;0.854487895966;3753;3641;112;112;3753;3641;112;112;60.1533;85.9063;60.1533;85.9063;221;162;1492;74;253;178;176;1514;0;257;178;176;1514;0;257;25653;40897;55911;51205;59;2;57;59;2;57;259.99999999999091;90.000000000145519
53;0.00104594230652;66;0.00526595115662;4092;0.000665903091431;208;0.00735998153687;8663;23.3648679256;52;142.272200108;143;3.13331604004;7436;0.0677380561829;5.79606509209;3577;3564;13;13;3577;3564;13;13;0;85.1491;0;85.1491;160;206;1430;75;230;160;206;1444;15;249;160;206;1444;15;249;46158;10868;22649;35025;46;46;0;46;46;0;409.99999999985448;79.99999999992724
57;0.00166201591492;18;0.00819110870361;5748;0.000643014907837;18;0.0131809711456;8018;11.9386000633;7;16.6604428291;16;0.286650180817;112;0.00136017799377;0.117233037949;3344;3268;76;76;3344;3268;76;76;0;294.447;0;294.447;30;100;1185;277;497;30;100;1253;0;562;30;100;1253;0;562;74777;30097;580;57960;70;70;0;70;70;0;390.00000000010004;109.99999999989996
58;0.00152492523193;113;0.00512290000916;4523;0.000916957855225;70;0.00325679779053;4168;42.3027789593;72;25.1741290092;20;0.563942909241;1440;0.00760388374329;0.740741968155;3711;3630;81;81;3711;3630;81;81;489.725;161.049;318.654;106.333;51;440;998;268;567;443;476;1032;0;614;302;455;1033;60;594;74980;57199;24099;60740;389;33;356;389;153;236;329.99999999992724;110.00000000012733
scenario_id;iso_foot_pickup_time;pickup_foot_size;iso_car_pickup_time;pickup_car_size;iso_foot_dropoff_time;dropoff_foot_size;iso_car_dropoff_time;dropoff_car_size;psi_pickup_time;psi_pickup_size;psi_dropoff_time;psi_dropoff_size;path_computing_time;shared_path_size;path_ordering_foot_time;path_ordering_car_time;cd_total_cost;cc_total_cost;ecart_cost;diff_cost;cd_total_cost;ccl_total_cost;ecart_cost_2;diff_cost_2;ecart_distance_pickup (meters);ecart_distance_dropoff (meters);ecart_distance_pickup_2 (meters);ecart_distance_dropoff_2 (meters);cd_len1;cd_len2;cd_len3;cd_len4;cd_len5;cc_len1;cc_len2;cc_len3;cc_len4;cc_len5;ccl_len1;ccl_len2;ccl_len3;ccl_len4;ccl_len5;foot1;car1;foot2;car2;cd_waiting_time;cc_waiting_time;ecart_waiting_time;cd_waiting_time;ccl_waiting_time;ecart_waiting_time_2;cc_runtime;ccl_runtime
